"Protein","Protein Description"
"tr|A0A1Q9CNT9|A0A1Q9CNT9_SYMMI","Pre-rRNA processing protein FTSJ3 OS=Symbiodinium microadriaticum OX=2951 GN=FTSJ3 PE=4 SV=1"
"tr|A0A1Q9F523|A0A1Q9F523_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene1068 PE=4 SV=1"
"tr|A0A1Q9CFR9|A0A1Q9CFR9_SYMMI","30S ribosomal protein S6 OS=Symbiodinium microadriaticum OX=2951 GN=rpsF PE=4 SV=1"
"tr|A0A1Q9DG93|A0A1Q9DG93_SYMMI","Bardet-Biedl syndrome 7 protein OS=Symbiodinium microadriaticum OX=2951 GN=BBS7 PE=4 SV=1"
"tr|A0A1Q9DS59|A0A1Q9DS59_SYMMI","Cell division control protein 2-like OS=Symbiodinium microadriaticum OX=2951 GN=CDC2 PE=4 SV=1"
"tr|A0A1Q9CXB6|A0A1Q9CXB6_SYMMI","Transposon Ty4-H Gag-Pol polyprotein OS=Symbiodinium microadriaticum OX=2951 GN=TY4B-H PE=4 SV=1"
"tr|A0A1Q9CC08|A0A1Q9CC08_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene39118 PE=4 SV=1"
"tr|A0A1Q9DN89|A0A1Q9DN89_SYMMI","ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene21106 PE=4 SV=1"
"tr|A0A1Q9CST2|A0A1Q9CST2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene32970 PE=4 SV=1"
"tr|A0A1Q9DJN0|A0A1Q9DJN0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene22526 PE=4 SV=1"
"tr|A0A1Q9CZB8|A0A1Q9CZB8_SYMMI","Chaperone protein ClpC1, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=CLPC1 PE=3 SV=1"
"tr|A0A1Q9EIU3|A0A1Q9EIU3_SYMMI","Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM OS=Symbiodinium microadriaticum OX=2951 GN=pol PE=4 SV=1"
"tr|A0A1Q9E2T6|A0A1Q9E2T6_SYMMI","Proliferation-associated protein 2G4 OS=Symbiodinium microadriaticum OX=2951 GN=Pa2g4 PE=3 SV=1"
"tr|A0A1Q9CNA5|A0A1Q9CNA5_SYMMI","Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1"
"tr|A0A1Q9F3K5|A0A1Q9F3K5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene1711 PE=3 SV=1"
"tr|A0A1Q9CTV8|A0A1Q9CTV8_SYMMI","Histone deacetylase complex subunit SAP18 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene32534 PE=3 SV=1"
"tr|A0A1Q9CPY5|A0A1Q9CPY5_SYMMI","Tubulin alpha chain OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene34059 PE=3 SV=1"
"tr|A0A1Q9E003|A0A1Q9E003_SYMMI","Transketolase-1, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=TKL-1 PE=3 SV=1"
"tr|A0A1Q9DEE6|A0A1Q9DEE6_SYMMI","Peptidylprolyl isomerase OS=Symbiodinium microadriaticum OX=2951 GN=asnS PE=3 SV=1"
"tr|A0A1Q9DEI9|A0A1Q9DEI9_SYMMI","Sjoegren syndrome nuclear autoantigen 1-like OS=Symbiodinium microadriaticum OX=2951 GN=Ssna1 PE=4 SV=1"
"tr|A0A1Q9CCQ1|A0A1Q9CCQ1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene38862 PE=4 SV=1"
"tr|A0A1Q9D6A8|A0A1Q9D6A8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene27733 PE=4 SV=1"
"tr|A0A1Q9CDB9|A0A1Q9CDB9_SYMMI","COP9 signalosome complex subunit 3 OS=Symbiodinium microadriaticum OX=2951 GN=UBI1 PE=3 SV=1"
"tr|A0A1Q9C7T9|A0A1Q9C7T9_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40777 PE=3 SV=1"
"tr|A0A1Q9C9T2|A0A1Q9C9T2_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene39993 PE=4 SV=1"
"tr|A0A1Q9CTQ4|A0A1Q9CTQ4_SYMMI","Kinesin-related protein 1 OS=Symbiodinium microadriaticum OX=2951 GN=kif1 PE=3 SV=1"
"tr|A0A1Q9CHQ9|A0A1Q9CHQ9_SYMMI","Sulfate adenylyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=MET3 PE=3 SV=1"
"tr|A0A1Q9CGS1|A0A1Q9CGS1_SYMMI","Protein transport protein sec31 OS=Symbiodinium microadriaticum OX=2951 GN=sec31 PE=4 SV=1"
"tr|A0A1Q9D5I5|A0A1Q9D5I5_SYMMI","DEAD-box ATP-dependent RNA helicase 56 OS=Symbiodinium microadriaticum OX=2951 GN=RH56 PE=4 SV=1"
"tr|A0A1Q9DG29|A0A1Q9DG29_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene23915 PE=4 SV=1"
"tr|A0A1Q9CIH8|A0A1Q9CIH8_SYMMI","Actin OS=Symbiodinium microadriaticum OX=2951 GN=Actin PE=3 SV=1"
"tr|A0A1Q9D6C9|A0A1Q9D6C9_SYMMI","Oxalate decarboxylase OxdD OS=Symbiodinium microadriaticum OX=2951 GN=oxdD PE=4 SV=1"
"tr|A0A1Q9D3A3|A0A1Q9D3A3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene28843 PE=4 SV=1"
"tr|A0A1Q9EG43|A0A1Q9EG43_SYMMI","Dynein assembly factor 3, axonemal OS=Symbiodinium microadriaticum OX=2951 GN=Dnaaf3 PE=4 SV=1"
"tr|A0A1Q9E5C3|A0A1Q9E5C3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene14515 PE=4 SV=1"
"tr|A0A1Q9DVV5|A0A1Q9DVV5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene18155 PE=4 SV=1"
"tr|A0A1Q9DXV9|A0A1Q9DXV9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene17365 PE=4 SV=1"
"tr|A0A1Q9DS78|A0A1Q9DS78_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene19604 PE=4 SV=1"
"tr|A0A1Q9EJP2|A0A1Q9EJP2_SYMMI","Alpha N-terminal protein methyltransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8945 PE=3 SV=1"
"tr|A0A1Q9E8V4|A0A1Q9E8V4_SYMMI","Delta-1-pyrroline-5-carboxylate dehydrogenase 12A1, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=ALDH12A1 PE=4 SV=1"
"tr|A0A1Q9DAW2|A0A1Q9DAW2_SYMMI","Ubiquitin-conjugating enzyme E2 27 OS=Symbiodinium microadriaticum OX=2951 GN=UBC27 PE=4 SV=1"
"tr|A0A1Q9DJV1|A0A1Q9DJV1_SYMMI","L-ascorbate peroxidase S, chloroplastic/mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=APXS PE=3 SV=1"
"tr|A0A1Q9CBJ7|A0A1Q9CBJ7_SYMMI","Phosphoenolpyruvate carboxykinase (ATP) OS=Symbiodinium microadriaticum OX=2951 GN=pckA PE=3 SV=1"
"tr|A0A1Q9CAD5|A0A1Q9CAD5_SYMMI","ATP synthase subunit beta OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene39795 PE=3 SV=1"
"tr|A0A1Q9CB49|A0A1Q9CB49_SYMMI","Actin-related protein 2/3 complex subunit 3 OS=Symbiodinium microadriaticum OX=2951 GN=arc3 PE=3 SV=1"
"tr|A0A1Q9E5G5|A0A1Q9E5G5_SYMMI","Acyl-CoA dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=acdA PE=3 SV=1"
"tr|A0A1Q9DVI4|A0A1Q9DVI4_SYMMI","Myosin-2 OS=Symbiodinium microadriaticum OX=2951 GN=MYO2 PE=3 SV=1"
"tr|A0A1Q9CCQ4|A0A1Q9CCQ4_SYMMI","Threonine ammonia-lyase OS=Symbiodinium microadriaticum OX=2951 GN=ilvA PE=3 SV=1"
"tr|A0A1Q9ENJ4|A0A1Q9ENJ4_SYMMI","60S ribosomal protein L30 OS=Symbiodinium microadriaticum OX=2951 GN=Rpl30 PE=3 SV=1"
"tr|A0A1Q9DYB1|A0A1Q9DYB1_SYMMI","Eukaryotic translation initiation factor 3 subunit C OS=Symbiodinium microadriaticum OX=2951 GN=TIF3C1 PE=4 SV=1"
"tr|A0A1Q9E8S0|A0A1Q9E8S0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene13176 PE=4 SV=1"
"tr|A0A1Q9DC43|A0A1Q9DC43_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene25368 PE=4 SV=1"
"tr|A0A1Q9EVT0|A0A1Q9EVT0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene4607 PE=4 SV=1"
"tr|A0A1Q9EET3|A0A1Q9EET3_SYMMI","Clathrin heavy chain 1 OS=Symbiodinium microadriaticum OX=2951 GN=CHC1 PE=4 SV=1"
"tr|A0A1Q9DT25|A0A1Q9DT25_SYMMI","GTP-binding protein ypt1 OS=Symbiodinium microadriaticum OX=2951 GN=ypt-1 PE=4 SV=1"
"tr|A0A1Q9CHC6|A0A1Q9CHC6_SYMMI","Photosystem I reaction center subunit XI OS=Symbiodinium microadriaticum OX=2951 GN=psaL PE=4 SV=1"
"tr|A0A1Q9CQD6|A0A1Q9CQD6_SYMMI","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=Gcat PE=4 SV=1"
"tr|A0A1Q9DPJ7|A0A1Q9DPJ7_SYMMI","Ubiquitin-like domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene20640 PE=4 SV=1"
"tr|A0A1Q9E2U4|A0A1Q9E2U4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene15507 PE=4 SV=1"
"tr|A0A1Q9BZX3|A0A1Q9BZX3_SYMMI","RNA-directed RNA polymerase L OS=Symbiodinium microadriaticum OX=2951 GN=L PE=4 SV=1"
"tr|A0A1Q9DH81|A0A1Q9DH81_SYMMI","Dual 3',5'-cyclic-AMP and-GMP phosphodiesterase 11 OS=Symbiodinium microadriaticum OX=2951 GN=Pde11 PE=4 SV=1"
"tr|A0A1Q9D7G5|A0A1Q9D7G5_SYMMI","Luminal-binding protein 5 OS=Symbiodinium microadriaticum OX=2951 GN=BIP5 PE=3 SV=1"
"tr|A0A1Q9DN85|A0A1Q9DN85_SYMMI","Peptidylprolyl isomerase OS=Symbiodinium microadriaticum OX=2951 GN=VAC14 PE=4 SV=1"
"tr|A0A1Q9E092|A0A1Q9E092_SYMMI","External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=NDB1 PE=4 SV=1"
"tr|A0A1Q9C427|A0A1Q9C427_SYMMI","Hsp90 chaperone protein kinase-targeting subunit (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=cdc37 PE=3 SV=1"
"tr|A0A1Q9ET27|A0A1Q9ET27_SYMMI","H(+)/Cl(-) exchange transporter 5 OS=Symbiodinium microadriaticum OX=2951 GN=CLCN5 PE=4 SV=1"
"tr|A0A1Q9E613|A0A1Q9E613_SYMMI","ATP-binding cassette sub-family B member 6, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=Abcb6 PE=3 SV=1"
"tr|A0A1Q9EXG9|A0A1Q9EXG9_SYMMI","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Symbiodinium microadriaticum OX=2951 GN=sucB PE=3 SV=1"
"tr|A0A1Q9CL77|A0A1Q9CL77_SYMMI","Poly(A) RNA polymerase GLD2-B OS=Symbiodinium microadriaticum OX=2951 GN=papd4-b PE=4 SV=1"
"tr|A0A1Q9D3N5|A0A1Q9D3N5_SYMMI","Acetohydroxy-acid reductoisomerase OS=Symbiodinium microadriaticum OX=2951 GN=ilvC PE=3 SV=1"
"tr|A0A1Q9E4J3|A0A1Q9E4J3_SYMMI","Protein disulfide-isomerase-like protein EhSep2 OS=Symbiodinium microadriaticum OX=2951 GN=SEP2 PE=4 SV=1"
"tr|A0A1Q9D3X9|A0A1Q9D3X9_SYMMI","Ubiquitin-conjugating enzyme E2 J2 OS=Symbiodinium microadriaticum OX=2951 GN=ube2j2 PE=4 SV=1"
"tr|A0A1Q9EUV2|A0A1Q9EUV2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene5005 PE=4 SV=1"
"tr|A0A1Q9ELM9|A0A1Q9ELM9_SYMMI","LINE-1 reverse transcriptase-like OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene8191 PE=4 SV=1"
"tr|A0A1Q9EVD0|A0A1Q9EVD0_SYMMI","40S ribosomal protein S15a-4 OS=Symbiodinium microadriaticum OX=2951 GN=RPS15AD PE=3 SV=1"
"tr|A0A1Q9DI97|A0A1Q9DI97_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene23039 PE=4 SV=1"
"tr|A0A1Q9C8C1|A0A1Q9C8C1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40592 PE=4 SV=1"
"tr|A0A1Q9BV61|A0A1Q9BV61_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45862 PE=4 SV=1"
"tr|A0A1Q9E0T5|A0A1Q9E0T5_SYMMI","Metallophos domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene16274 PE=4 SV=1"
"tr|A0A1Q9DMF4|A0A1Q9DMF4_SYMMI","Reticulocyte-binding protein 2-like a OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene21425 PE=4 SV=1"
"tr|A0A1Q9EDG0|A0A1Q9EDG0_SYMMI","Putative E3 ubiquitin-protein ligase HERC1 OS=Symbiodinium microadriaticum OX=2951 GN=HERC1 PE=4 SV=1"
"tr|A0A1Q9CT70|A0A1Q9CT70_SYMMI","VASP_tetra domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene32823 PE=4 SV=1"
"tr|A0A1Q9D1W2|A0A1Q9D1W2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene29416 PE=4 SV=1"
"tr|A0A1Q9DTA6|A0A1Q9DTA6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene19158 PE=4 SV=1"
"tr|A0A1Q9E5K8|A0A1Q9E5K8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene14462 PE=4 SV=1"
"tr|A0A1Q9DIP7|A0A1Q9DIP7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene22902 PE=4 SV=1"
"tr|A0A1Q9F3V3|A0A1Q9F3V3_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene1549 PE=4 SV=1"
"tr|A0A1Q9DAS7|A0A1Q9DAS7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene25970 PE=4 SV=1"
"tr|A0A1Q9EZ47|A0A1Q9EZ47_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene3450 PE=4 SV=1"
"tr|A0A1Q9BU41|A0A1Q9BU41_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46333 PE=4 SV=1"
"tr|A0A1Q9DVC3|A0A1Q9DVC3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene18331 PE=4 SV=1"
"tr|A0A1Q9C0Y8|A0A1Q9C0Y8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43469 PE=4 SV=1"
"tr|A0A1Q9ESE0|A0A1Q9ESE0_SYMMI","bPH_2 domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene5996 PE=4 SV=1"
"tr|A0A1Q9DGC5|A0A1Q9DGC5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene23807 PE=4 SV=1"
"tr|A0A1Q9C884|A0A1Q9C884_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40610 PE=4 SV=1"
"tr|A0A1Q9DBD2|A0A1Q9DBD2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene25773 PE=4 SV=1"
"tr|A0A1Q9E9J1|A0A1Q9E9J1_SYMMI","FHA domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12879 PE=4 SV=1"
"tr|A0A1Q9C4Y1|A0A1Q9C4Y1_SYMMI","Uncharacterized protein F23F12.8 OS=Symbiodinium microadriaticum OX=2951 GN=F23F12.8 PE=4 SV=1"
"tr|A0A1Q9DLC5|A0A1Q9DLC5_SYMMI","Isocitrate lyase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene21844 PE=4 SV=1"
"tr|A0A1Q9ED09|A0A1Q9ED09_SYMMI","Linear gramicidin synthase subunit A OS=Symbiodinium microadriaticum OX=2951 GN=lgrA PE=4 SV=1"
"tr|A0A1Q9EY64|A0A1Q9EY64_SYMMI","Calcium-dependent protein kinase 3 OS=Symbiodinium microadriaticum OX=2951 GN=CPK3 PE=4 SV=1"
"tr|A0A1Q9F1A1|A0A1Q9F1A1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene2508 PE=4 SV=1"
"tr|A0A1Q9CX33|A0A1Q9CX33_SYMMI","Ribulose-phosphate 3-epimerase OS=Symbiodinium microadriaticum OX=2951 GN=RPE PE=3 SV=1"
"tr|A0A1Q9C0U5|A0A1Q9C0U5_SYMMI","Fucoxanthin-chlorophyll a-c binding protein, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCP PE=4 SV=1"
"tr|A0A1Q9ES37|A0A1Q9ES37_SYMMI","Reverse transcriptase domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene6138 PE=4 SV=1"
"tr|A0A1Q9C0M3|A0A1Q9C0M3_SYMMI","Tricarboxylate transport protein, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=SLC25A1 PE=3 SV=1"
"tr|A0A1Q9EG97|A0A1Q9EG97_SYMMI","Phosphoglycerate kinase OS=Symbiodinium microadriaticum OX=2951 GN=PGK1 PE=3 SV=1"
"tr|A0A1Q9CQ81|A0A1Q9CQ81_SYMMI","Nicotinamide phosphoribosyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=NAMPT PE=3 SV=1"
"tr|A0A1Q9EE91|A0A1Q9EE91_SYMMI","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 OS=Symbiodinium microadriaticum OX=2951 GN=Hcn3 PE=4 SV=1"
"tr|A0A1Q9DTP0|A0A1Q9DTP0_SYMMI","Serine/threonine-protein phosphatase OS=Symbiodinium microadriaticum OX=2951 GN=PAPP5 PE=3 SV=1"
"tr|A0A1Q9F7F5|A0A1Q9F7F5_SYMMI","Phosphoenolpyruvate carboxykinase (ATP) OS=Symbiodinium microadriaticum OX=2951 GN=pckA PE=3 SV=1"
"tr|A0A1Q9EHH4|A0A1Q9EHH4_SYMMI","Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9768 PE=4 SV=1"
"tr|A0A1Q9EUX1|A0A1Q9EUX1_SYMMI","NAD-dependent protein deacetylase Sirt7 OS=Symbiodinium microadriaticum OX=2951 GN=Sirt7 PE=4 SV=1"
"tr|A0A1Q9CWV0|A0A1Q9CWV0_SYMMI","Pumilio-like 5 OS=Symbiodinium microadriaticum OX=2951 GN=APUM5 PE=4 SV=1"
"tr|A0A1Q9BW36|A0A1Q9BW36_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45440 PE=4 SV=1"
"tr|A0A1Q9F2V9|A0A1Q9F2V9_SYMMI","Ankyrin repeat and KH domain-containing protein mask OS=Symbiodinium microadriaticum OX=2951 GN=mask PE=4 SV=1"
"tr|A0A1Q9D7J0|A0A1Q9D7J0_SYMMI","Polycystin-2 OS=Symbiodinium microadriaticum OX=2951 GN=pkd2 PE=4 SV=1"
"tr|A0A1Q9E6D4|A0A1Q9E6D4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene14127 PE=3 SV=1"
"tr|A0A1Q9DV39|A0A1Q9DV39_SYMMI","J domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene18441 PE=4 SV=1"
"tr|A0A1Q9C323|A0A1Q9C323_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42638 PE=4 SV=1"
"tr|A0A1Q9CZ93|A0A1Q9CZ93_SYMMI","Apoptosis-inducing factor-like B OS=Symbiodinium microadriaticum OX=2951 GN=aifB PE=4 SV=1"
"tr|A0A1Q9F679|A0A1Q9F679_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene586 PE=4 SV=1"
"tr|A0A1Q9EQ90|A0A1Q9EQ90_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene6815 PE=4 SV=1"
"tr|A0A1Q9F2Q0|A0A1Q9F2Q0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene1920 PE=4 SV=1"
"tr|A0A1Q9ESH2|A0A1Q9ESH2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene5940 PE=4 SV=1"
"tr|A0A1Q9E139|A0A1Q9E139_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene16161 PE=4 SV=1"
"tr|A0A1Q9EKD1|A0A1Q9EKD1_SYMMI","Elongation factor G, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=MEF1 PE=4 SV=1"
"tr|A0A1Q9EEQ1|A0A1Q9EEQ1_SYMMI","Aromatic-amino-acid aminotransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10816 PE=4 SV=1"
"tr|A0A1Q9EG83|A0A1Q9EG83_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene10230 PE=4 SV=1"
"tr|A0A1Q9BZK1|A0A1Q9BZK1_SYMMI","Protein NLRC3 OS=Symbiodinium microadriaticum OX=2951 GN=NLRC3 PE=4 SV=1"
"tr|A0A1Q9DFN0|A0A1Q9DFN0_SYMMI","Splicing factor 3B subunit 3 OS=Symbiodinium microadriaticum OX=2951 GN=Sf3b3 PE=4 SV=1"
"tr|A0A1Q9DSU2|A0A1Q9DSU2_SYMMI","30S ribosomal protein S1 OS=Symbiodinium microadriaticum OX=2951 GN=rpsA PE=4 SV=1"
"tr|A0A1Q9E9T4|A0A1Q9E9T4_SYMMI","ANK_REP_REGION domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12750 PE=4 SV=1"
"tr|A0A1Q9EC88|A0A1Q9EC88_SYMMI","Reverse transcriptase Ty1/copia-type domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11763 PE=4 SV=1"
"tr|A0A1Q9ER22|A0A1Q9ER22_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene6525 PE=4 SV=1"
"tr|A0A1Q9E9V5|A0A1Q9E9V5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene12752 PE=4 SV=1"
"tr|A0A1Q9CQA7|A0A1Q9CQA7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33929 PE=4 SV=1"
"tr|A0A1Q9CHC2|A0A1Q9CHC2_SYMMI","Putative fumarate reductase OS=Symbiodinium microadriaticum OX=2951 GN=osm1 PE=4 SV=1"
"tr|A0A1Q9CKP9|A0A1Q9CKP9_SYMMI","Putative glycosyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene35712 PE=3 SV=1"
"tr|A0A1Q9EF14|A0A1Q9EF14_SYMMI","DNA excision repair protein ERCC-6-like OS=Symbiodinium microadriaticum OX=2951 GN=ercc6l PE=4 SV=1"
"tr|A0A1Q9F5I6|A0A1Q9F5I6_SYMMI","Putative cytosol aminopeptidase OS=Symbiodinium microadriaticum OX=2951 GN=pepA PE=3 SV=1"
"tr|A0A1Q9CYI1|A0A1Q9CYI1_SYMMI","Cyanate hydratase OS=Symbiodinium microadriaticum OX=2951 GN=CYN PE=3 SV=1"
"tr|A0A1Q9CRQ8|A0A1Q9CRQ8_SYMMI","Bipolar kinesin KRP-130 OS=Symbiodinium microadriaticum OX=2951 GN=Klp61F PE=3 SV=1"
"tr|A0A1Q9C5M9|A0A1Q9C5M9_SYMMI","Fucoxanthin-chlorophyll a-c binding protein A, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPA PE=4 SV=1"
"tr|A0A1Q9D583|A0A1Q9D583_SYMMI","KIF-binding protein OS=Symbiodinium microadriaticum OX=2951 GN=Arsb PE=3 SV=1"
"tr|A0A1Q9DF67|A0A1Q9DF67_SYMMI","Calreticulin OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene24221 PE=3 SV=1"
"tr|A0A1Q9CVW7|A0A1Q9CVW7_SYMMI","Acyl carrier protein OS=Symbiodinium microadriaticum OX=2951 GN=acpP PE=3 SV=1"
"tr|A0A1Q9EMA9|A0A1Q9EMA9_SYMMI","Exoglucanase OS=Symbiodinium microadriaticum OX=2951 GN=cel2 PE=3 SV=1"
"tr|A0A1Q9DQT2|A0A1Q9DQT2_SYMMI","UPF0586 protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene20124 PE=4 SV=1"
"tr|A0A1Q9D4Z6|A0A1Q9D4Z6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene28192 PE=4 SV=1"
"tr|A0A1Q9CDU2|A0A1Q9CDU2_SYMMI","E3 SUMO-protein ligase RanBP2 OS=Symbiodinium microadriaticum OX=2951 GN=Ranbp2 PE=4 SV=1"
